pk,jsondata,id,name,description,markup_description
14,"{""vdoc"": ""0==No||1==Yes""}",ICU44,Is clausal negation in declarative sentences signaled with a negative auxiliary verb?,"Corresponds to WALS feature number: 112 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
15,"{""vdoc"": ""0==No||1==Yes""}",ARW1-1-18,Is there a tonal system?,I.e. two or more contrastive tones ('N' here and 'Y' for 1.1.15 implies a stress system - make a note to 1.1.15 if this is not the case),
16,"{""vdoc"": ""A==no number distinctions||B==sg/pl||C==sg/du/pl""}",NP9,Is there a number distinction in 3rd person pronouns?,,
17,"{""vdoc"": ""A==no gender distinctions||B==1st person only||C==2nd person only||D==3rd person only||E==all persons||F==2nd and 3rd person only||G==1st and 2nd person only""}",NP8,Is there a gender distinction in independent personal pronouns?,Add note in the comment secion if only animcay is encoded and not sex/gender,
18,"{""vdoc"": ""0==No||1==Yes""}",ICU45,"Can the structure of the negative be identical to the structure of the affirmative, except for the presence of the negative marker(s)?","Corresponds to WALS feature number: 113 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
19,"{""vdoc"": ""1==yes||0==no""}",NP5,Is there a copula for predicate locative phrases? (only present tense clauses are taken into account),Answer as 'yes' when the use of copula is obligatory. Only present tense clauses are taken into account,
20,"{""vdoc"": ""1==yes||0==no""}",NP4,Is there a copula for predicate nouns? (only present tense clauses are taken into account),Answer as 'yes' when the use of copula is obligatory. Only present tense clauses are taken into account,
21,"{""vdoc"": ""1==yes||0==no""}",NP7,Is there an inclusive/exclusive distinction in personal pronouns?,,
22,"{""vdoc"": ""1==yes||0==no""}",NP6,Is there a copula for predicate adjectives? (only present tense clauses are taken into account),Answer as 'yes' when the use of copula is obligatory. Only present tense clauses are taken into account,
23,"{""vdoc"": ""SV==||VS==||BOTH==both orders with neither order dominant""}",NP1,What is the pragmatically unmarked word order for an intransitive clause?,most frequent word order in declarative sentences (main clause) with argument expressed by nominal NPs,
24,"{""vdoc"": ""0==No||1==Yes""}",ARW1-1-17,Is there syllable position sensitive suprasegmental prominence?,"suprasegmental prominence can be loudness, duration, pitch, i.e. stress or tone phenomena",
25,"{""vdoc"": ""SOV==||SVO==||VSO==||VOS==||OVS==||OSV==||FREE==lacking a dominant word order""}",NP2,What is the pragmatically unmarked word order for a transitive clause?,most frequent word order in declarative sentences (main clause) with arguments expressed by nominal NPs,
26,"{""vdoc"": ""Y==yes||N==no||?==not known""}",FFQ2,Mid vowels (phonemic),,
27,"{""vdoc"": ""0==No||1==Yes""}",ICU40,Does the polar question indicator come at the beginning of the sentence?,"Corresponds to WALS feature number: 92 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
28,"{""vdoc"": ""0==No||1==Yes""}",ICU41,Does the polar question indicator come at the end of the sentence?,"Corresponds to WALS feature number: 92 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
29,"{""vdoc"": ""0==No||1==Yes""}",ARW58,3PL is -no/-na,,
30,"{""vdoc"": ""0==No||1==Yes""}",ARW59,3SG is not marked by prefix/proclitics,,
31,"{""vdoc"": ""0==No||1==Yes""}",ARW56,1PL is -vi/-wa,,
32,"{""vdoc"": ""0==No||1==Yes""}",ARW57,2PL is -(y)i,,
33,"{""vdoc"": ""0==No||1==Yes""}",ARW54,3SGf is -ri or -(l)i,,
34,"{""vdoc"": ""0==No||1==Yes""}",ICU43,Is clausal negation in declarative sentences signaled with a negative particle or word?,"Corresponds to WALS feature number: 112 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
35,"{""vdoc"": ""0==No||1==Yes""}",ARW52,3SGf is -ro or -(l)o,,
36,"{""vdoc"": ""0==No||1==Yes""}",ARW53,3SGm is -ri or -(l)i,,
37,"{""vdoc"": ""0==No||1==Yes""}",ARW50,The personal suffix/enclitic 1SG is -ta/-da,,
38,"{""vdoc"": ""0==No||1==Yes""}",ARW51,2SG is -pi,,
39,"{""vdoc"": ""0==No||1==Yes""}",ARW4-3-11,"Are there participle or gerund constructions, morphologically separate from RC or subordinate clauses?",,
40,"{""vdoc"": ""0==No||1==Yes""}",ARW2-5-10,Are there possessive classifiers?,"i.e. free or bound morphemes which are non-agreeing, noun categorisation devices, the choice of which is determined by lexical selection",
41,"{""vdoc"": ""0==No||1==Yes""}",ARW3-7-01,Is there a copula for predicate nouns?,e.g. John is a teacher,
42,"{""vdoc"": ""0==No||1==Yes""}",ARW3-7-03,Are there serial verb constructions?,"(i.e. two or more verbs in juxtaposition, functioning as a single predicate, with no morphology to mark their relationship with each other. Each of the verbs is a separate phonological word but the construction as a whole is expressed in one intonational unit. Morphology is shared to a greater or lesser extent.)",
43,"{""vdoc"": ""A==A/V||B==T/V||C==A/T||D==C#||E==free||F==#C""}",ARGEX1-4,The dominant constituent order for R in ditransitive clauses is,,
44,"{""vdoc"": ""0==No||1==Yes""}",ARW3-7-05,Is verb compounding a regular process?,(i.e. two or more verb stems acting as one phonological and grammatical word),
45,"{""vdoc"": ""0==No||1==Yes""}",ARW3-7-06,Are there verb-adjunct (aka light-verb) constructions?,"(i.e. constructions involving a non-predicating element expressing the lexical meaning of the construction, in conjunction with a semantically fairly empty verb, which enables the element to function as a predicate by providing the necessary morphology, e.g. eye do for 'see'; or sneeze hit for 'sneeze')",
46,"{""vdoc"": ""0==No||1==Yes""}",ICS42,Do predicative adjectives have non-verbal encoding?,"Corresponds to WALS feature number: 118 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
47,"{""vdoc"": ""0==No||1==Yes""}",ICS43,Does the language encode direct evidentiality (perceived with senses)?,"Corresponds to WALS feature number: 77 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
48,"{""vdoc"": ""0==No||1==Yes""}",ICS40,Does the language distinguish between Sa and So in verbal person marking?,"Corresponds to WALS feature number: 100 [http://wals.info], Constenla feature number: 25 [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
49,"{""vdoc"": ""0==No||1==Yes""}",ICS41,Do predicative adjectives have verbal encoding?,"Corresponds to WALS feature number: 118 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
50,"{""vdoc"": ""0==No||1==Yes""}",ICS44,"Does the language encode indirect evidentiality (hearsay, inference, etc)?","Corresponds to WALS feature number: 77 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
51,"{""vdoc"": ""0==No||1==Yes""}",ARW2-3-06a,Is the opposition visible-non-visible marked on demonstratives?,,
52,"{""vdoc"": ""0==No||1==Yes""}",ARW3-7-04b,Are there aspectual auxiliaries?,,
53,"{""vdoc"": ""0==No||1==Yes""}",ARW3-7-04c,Are there tense auxiliaries?,,
54,"{""vdoc"": ""0==No||1==Yes""}",ARW3-7-04a,Are there modal auxiliaries?,,
55,"{""vdoc"": ""0==No||1==Yes""}",ARW3-3-09,Is the A participant (at least sometimes) marked by a suffix/enclitic?,,
56,"{""vdoc"": ""0==No||1==Yes""}",ARW3-3-08,Is the S participant (at least sometimes) marked by a prefix/proclitic?,,
57,"{""vdoc"": ""0==No||1==Yes""}",ARW3-3-07,Is the S participant (at least sometimes) marked by a suffix/enclitic?,3.3.07-3.3.12 pertain to verb morphology,
58,"{""vdoc"": ""0==No||1==Yes""}",ARW2-2-01a,Is there a minimal-augmented system?,"i.e. four basic pronominal forms for 1sg, 2sg, 3sg and 1+2, which each can be affixed for plural (or dual etc.)",
59,"{""vdoc"": ""0==No||1==Yes""}",ARW1-1-12,Are there contrastive phonation types for vowels?,"(e.g. nasal, creaky, etc)",
60,"{""vdoc"": ""0==No||1==Yes""}",ICU46,Are third person pronouns and demonstratives related to demonstratives?,"Corresponds to WALS feature number: 43 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
61,"{""vdoc"": ""0==No||1==Yes""}",ARW1-1-10,Is there phonemic consonant length?,,
62,"{""vdoc"": ""0==No||1==Yes""}",ARW1-1-11,Is there phonemic vowel length?,,
63,"{""vdoc"": ""0==No||1==Yes""}",ARW1-1-16,Is there weight-sensitive suprasegmental prominence,"suprasegmental prominence can be loudness, duration, pitch, i.e. stress or tone phenomena",
64,"{""vdoc"": ""A==none||B==two||C==three""}",NP810,How many gender distinctions are realized within the NP?,By genders is meant a system of OBLIGATORILY dividing all nouns into classes.,
65,"{""vdoc"": ""1==yes||0==no""}",NP730,Do nouns have a morphologically marked paucal?,,
66,"{""vdoc"": ""0==No||1==Yes""}",ARW2-1-01,Are there definite or specific articles?,,
67,"{""vdoc"": ""0==No||1==Yes""}",ARW2-1-06,Are there 'discontinuous noun phrases'?,Can an argument be expressed by multiple N/NP throughout the clause > i.e. the Australian type.,
68,"{""vdoc"": ""0==No||1==Yes""}",ARW2-1-07,Is there a difference between the marking of NP coordination ('John and Mary went to market') and the marking of comitative phrases ('John went to market with Mary')?,,
69,"{""vdoc"": ""0==No||1==Yes""}",ARW1-1-15,Is there lexically determined suprasegmental prominence?,"suprasegmental prominence can be loudness, duration, pitch, i.e. stress or tone phenomena (don't include phonemic vowel length)",
70,"{""vdoc"": ""0==No||1==Yes""}",ARW4-2a-01,Is there a morphologically marked passive construction?,morphological marking includes some verbal affixation or some periphrastic element in the VP or clause,
71,"{""vdoc"": ""0==No||1==Yes""}",ARW5-2-08,Is the term for a man's child distinct from the term for a woman's child?,,
72,"{""vdoc"": ""0==No||1==Yes""}",ARW5-2-09,Is the term for a man's child the same as the term for a woman's brother's child?,,
73,"{""vdoc"": ""0==No||1==Yes""}",ARW5-2-04,Are there self-converse grandparent terms?,e.g. one term for FF and SS,
74,"{""vdoc"": ""0==No||1==Yes""}",ARW5-2-05,Is there a terminological distinction between cross- and parallel-cousins?,"(will correlate fairly well, though not perfectly, with the answers to 5.2 and 5.3)",
75,"{""vdoc"": ""0==No||1==Yes""}",ARW5-2-06,Is there a terminological distinction between first and second cousins (for at least some types of cousin)?,,
76,"{""vdoc"": ""0==No||1==Yes""}",ARW5-2-07,Is there a terminological distinction between patrilateral and matrilateral cousins (for at least some types of cousin)?,,
77,"{""vdoc"": ""0==No||1==Yes""}",ARW5-2-01,Is there a construction encoding kin dyads?,,
78,"{""vdoc"": ""0==No||1==Yes""}",ARW5-2-02,Is the term for father the same as the term for father's brother  (i.e. F = FB)?,"The 4 possible answers to these 5.2 and 5.3 corresponds to the classic 4-way division into Eskimo, Sudanese, Dravidian and Hawaiian systems on the basis of how uncle terms pattern",
79,"{""vdoc"": ""0==No||1==Yes""}",ARW5-2-03,Is the term for mother's brother the same as the term for father's brother (i.e. MB = FB)?,"The 4 possible answers to these 5.2 and 5.3 corresponds to the classic 4-way division into Eskimo, Sudanese, Dravidian and Hawaiian systems on the basis of how uncle terms pattern",
80,"{""vdoc"": ""0==No||1==Yes""}",ICU3,Is there a simple lateral vibrant phoneme /l/?,"Corresponds to WALS feature number: 8 [http://wals.info], Constenla feature number: 80 [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
81,"{""vdoc"": ""0==No||1==Yes""}",ICU2,Is there a voiced lateral approximant (/1/)?,"Corresponds to WALS feature number: 8 [http://wals.info], Constenla feature number: 77 [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
82,"{""vdoc"": ""0==No||1==Yes""}",ICU1,Is there a voiceless lateral fricative phoneme (/4 /)?,"Corresponds to WALS feature number: 8 [http://wals.info], Constenla feature number: 71 [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
83,"{""vdoc"": ""0==No||1==Yes""}",ICU7,Is there inflection for indicating the (grammatical) person of the object on the transitive verb?,"Corresponds to WALS feature number: 102 [http://wals.info], Constenla feature number: 36 [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
84,"{""vdoc"": ""0==No||1==Yes""}",ICU6,Is there inflection for indicating the (grammatical) person of the agent on transitive verbs?,"Corresponds to WALS feature number: 102 [http://wals.info], Constenla feature number: 35 [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
85,"{""vdoc"": ""0==No||1==Yes""}",ICU5,Is there inflection for indicating the (grammatical) person on intransitive verbs?,"Corresponds to WALS feature number: 102 [http://wals.info], Constenla feature number: 34 [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
86,"{""vdoc"": ""0==No||1==Yes""}",ICU4,Is there definite marking distinct from demonstratives?,"Corresponds to WALS feature number: 37 [http://wals.info], Constenla feature number: 42 [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
87,"{""vdoc"": ""0==No||1==Yes""}",ARW4-3-01,Is there clause chaining?,(i.e. chains of morphologically stripped-down medial clauses which are dependent on one final clause for their TAM or participant marking specification),
88,"{""vdoc"": ""0==No||1==Yes""}",ICU9,Is there zero realization of at least some third person plural S forms?,"Corresponds to WALS feature number: 103 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
89,"{""vdoc"": ""0==No||1==Yes""}",ICU8,Is there zero realization of at least some third person singular S forms?,"Corresponds to WALS feature number: 103 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
90,"{""vdoc"": ""0==No||1==Yes""}",ARW4-3-04,Is the verb 'say' or a quotative construction used in desiderative constructions?,(e.g. 'I said for him to go' for 'I wanted him to go'),
91,"{""vdoc"": ""0==No||1==Yes""}",ARW4-3-07,Are there purposive non-finite subordinate clauses?,NOTE: I'm still not happy with 4.3.07-11,
92,"{""vdoc"": ""0==No||1==Yes""}",ARW4-1-05a,Is the order of constituents the same in main and subordinate clauses?,,
93,"{""vdoc"": ""0==No||1==Yes""}",ARW4-1-05b,Do clausal objects occur in the same position as nominal objects?,,
94,"{""vdoc"": ""1==true||0==false""}",ARGEX6-1,Causation can be expressed through verbal morphology,,
95,"{""vdoc"": ""0==No||1==Yes""}",ARW12,Nasalized vowels are phonemic,,
96,"{""vdoc"": ""0==No||1==Yes""}",ARW13,Nasalized vowels result from (morpho)phonological changes,,
97,"{""vdoc"": ""0==No||1==Yes""}",ARW10,There is alternation of [p] and [w] or [p] and [v],,
98,"{""vdoc"": ""0==No||1==Yes""}",ARW11,There is a phonemic contrast between [u] and [o],,
99,"{""vdoc"": ""0==No||1==Yes""}",ARW16,Consonant clusters result from vowel elision or metathesis,,
100,"{""vdoc"": ""0==No||1==Yes""}",ARW17,There is vowel harmony,,
101,"{""vdoc"": ""0==No||1==Yes""}",ARW14,Nasalized vowels occur contiguous to nasal consonants,,
102,"{""vdoc"": ""0==No||1==Yes""}",ARW15,Nasalized vowels occur contiguous to [h],,
103,"{""vdoc"": ""0==No||1==Yes""}",ARW18,There is metathesis,,
104,"{""vdoc"": ""0==No||1==Yes""}",ARW19,There is palatalization of consonants followed by a front vowel [i] or [e],,
105,"{""vdoc"": ""A==different||B==same||C==depends on the noun||D==there are no tense markers on verbs - nominal tense markers are (one of the) main means of tense marking""}",NP1014,Are tense markers which occur on nouns morphologically different from the tense markers on verbs in that language? [NP1014],,
106,"{""vdoc"": ""A==not limited to certain nouns||B==limited to certain nouns""}",NP1015,Is the use of nominal temporal markers semantically limited to certain nouns? [NP1015],"nouns denoting non-kin relationships (e.g. wife, girlfriend) or occupations (e.g. teacher).",
107,"{""vdoc"": ""1==yes||0==no""}",NP1010,"Can any temporal or aspectual distinctions, restricted to NP, be marked on the head noun?",e.g. [it is my house-PST] = 'it is my former house',
108,"{""vdoc"": ""1==yes||0==no""}",NP1011,Can 'past' be marked? [NP1011],,
109,"{""vdoc"": ""1==yes||0==no""}",NP1012,Can 'future' be marked? [NP1012],,
110,"{""vdoc"": ""1==yes||0==no""}",NP1013,Can 'remote past' be marked?,,
111,"{""vdoc"": ""1==yes||0==no||N/A==not applicable""}",NP212,Is there agreement in GENDER between adjective and noun?,,
112,"{""vdoc"": ""1==yes||0==no||N/A==not applicable""}",NP213,Is there agreement in PHYSICAL PROPERTIES between adjective and noun?,,
113,"{""vdoc"": ""1==yes||0==no||N/A==not applicable""}",NP210,Is there agreement between adjective (property word) and the noun in the NP?,,
114,"{""vdoc"": ""1==yes||0==no||N/A==not applicable""}",NP211,Is there agreement in NUMBER between adjective and noun?,,
115,"{""vdoc"": ""0==No||1==Yes""}",ARW2-1-05b,Do numerals occur in NP after the N?,,
116,"{""vdoc"": ""0==No||1==Yes""}",ARW2-1-05c,Does the Demonstrative occur in the NP before the N?,,
117,"{""vdoc"": ""0==No||1==Yes""}",ICU42,Is clausal negation in declarative sentences signaled with a negative affix?,"Corresponds to WALS feature number: 112 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
118,"{""vdoc"": ""0==No||1==Yes""}",ARW2-1-05a,Do numerals occur in NP before the N?,,
175,"{""vdoc"": ""1==yes||0==no||N/A==not applicable i.e. referring to 'adnominal' demonstratives - not to the semantic feature encoded""}",NP313,Can adnominal demonstratives encode physical properties of the referent?,"e.g. shape, size, material, consistency",
119,"{""vdoc"": ""0==No||1==Yes""}",ICS33,Does the language use the same strategy to encode nominal and locational predicates?,"Corresponds to WALS feature number: 119 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
120,"{""vdoc"": ""0==No||1==Yes""}",ARW55,3SGm is -ro or -(l)o,,
121,"{""vdoc"": ""A==PV||B==VP||C==none""}",ARGEX1-3,The dominant constituent order for P and V in transitive clause is,,
122,"{""vdoc"": ""A==APV||B==AVP||C==VPA||D==VAP||E==PVA||F==PAV||G==none""}",ARGEX1-2,The dominant constituent order in a transitive clause is,,
123,"{""vdoc"": ""A==SV||B==VS||C==none""}",ARGEX1-1,The dominant constituent order in an intransitive clause is,,
124,"{""vdoc"": ""0==No||1==Yes""}",ICS32,Is a zero copula possible for at least some predicate nominals (non-overt copula)?,"Corresponds to WALS feature number: 120 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
125,"{""vdoc"": ""0==No||1==Yes""}",ARW3-2-02a,Is there past tense regularly morphologically marked on the verb?,,
126,"{""vdoc"": ""0==No||1==Yes""}",ARW3-2-02c,"Are there multiple past or future tenses, distinguishing distance from Time of Reference, marked on the verb?",,
127,"{""vdoc"": ""0==No||1==Yes""}",ARW3-2-02b,Is there future tense regularly morphologically marked on the verb?,,
128,"{""vdoc"": ""0==No||1==Yes""}",ICS31,"Is the order of the interrogative word and the clause obligatorily question word - clause (i.e., are question words positioned initially)?","Corresponds to WALS feature number: 93 [http://wals.info], Constenla feature number: 14 [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
129,"{""vdoc"": ""0==No||1==Yes""}",ICS30,Is the order of the demonstrative and the noun Dem - N?,"Corresponds to WALS feature number: 88 [http://wals.info], Constenla feature number: 12 [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
130,"{""vdoc"": ""0==No||1==Yes""}",ICS37,Does the language treat S and O the same in verbal person marking?,"Corresponds to WALS feature number: 100 [http://wals.info], Constenla feature number: 26 [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
131,"{""vdoc"": ""1==true||0==false""}",ARGEX9-1,Antipassive constructions are marked by verbal morphology,,
132,"{""vdoc"": ""0==No||1==Yes""}",ICS36,Does the language treat S and O the same in pronouns?,"Corresponds to WALS feature number: 99 [http://wals.info], Constenla feature number: 26 [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
133,"{""vdoc"": ""1==true||0==false""}",ARGEX2-14,Verbal argument markers are fused with TMA categories,,
134,"{""vdoc"": ""A==accusative||B==ergative||C==tripartite||D==neutral||E==none""}",ARGEX2-15,Verbal person markers show the following alignment pattern,,
135,"{""vdoc"": ""A==marked||B==unmarked||C==no gender""}",ARGEX2-12,Gender can only be marked in the singular,,
136,"{""vdoc"": ""A==yes||B==no||C==no verbal marking""}",ARGEX2-13,First person inclusive is a distinct morphological category in verbal argument markers,,
137,"{""vdoc"": ""1==true||0==false""}",ARGEX2-10,Ditransitive verbs can mark R,,
138,"{""vdoc"": ""A==A before P||B==P before A||C==hierarchical||D==portmanteau||E==A and P not marked""}",ARGEX2-11,"In transitive clauses that can mark A and P, marking is",,
139,"{""vdoc"": ""0==No||1==Yes""}",ICS34,"In NP conjunction, is 'and' the same as 'with'?","Corresponds to WALS feature number: 63 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
140,"{""vdoc"": ""A==adjectives||B==verbs||C==nouns||D==adverbs""}",NP506,Which word class do (the majority of) words denoting PHYSICAL PROPERTY belong to?,"hard', 'soft', 'heavy', 'wet', strong', 'clean', 'hot, etc.",
141,"{""vdoc"": ""A==adjectives||B==verbs||C==nouns||D==adverbs||E==postposition""}",NP507,Which word class do (the majority of) words denoting HUMAN PROPENSITY belong to?,"jealous', 'happy', 'kind', etc.",
142,"{""vdoc"": ""A==adjectives||B==verbs||C==nouns||D==adverbs""}",NP504,Which word class do (the majority of) words denoting VALUE belong to?,"good', 'bad', 'strange', etc.",
143,"{""vdoc"": ""A==adjectives||B==verbs||C==nouns||D==adverbs""}",NP505,Which word class do (the majority of) words denoting COLOR belong to?,"black', 'white', 'red', etc.",
144,"{""vdoc"": ""A==adjectives||B==verbs||C==nouns||D==adverbs||E==postposition""}",NP502,Which word class do (the majority of) words denoting DIMENSION belong to?,"big', 'small', 'long', 'deep', etc.",
145,"{""vdoc"": ""A==adjectives||B==verbs||C==nouns||D==adverbs""}",NP503,Which word class do (the majority of) words denoting AGE belong to?,"new', 'young', old', etc.",
146,"{""vdoc"": ""0==No||1==Yes""}",ICS35,Does the language have a case system that does not distinguish between the agent or patient of an intransitive verb and the patient of an transitive verb?,"Corresponds to WALS feature number: 98 [http://wals.info], Constenla feature number: 26 [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
147,"{""vdoc"": ""A==no||B==yes, but less than 10||C==yes, more than 10""}",NP501,Is there a class of synchronically underived adjectival elements (lexemes)?,,
148,"{""vdoc"": ""0==No||1==Yes""}",ICS39,Does the language distinguish between Sa and So in pronouns?,"Corresponds to WALS feature number: 99 [http://wals.info], Constenla feature number: 25 [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
