pk,comment,example,contributed_datapoint
75,,,Loretta O'Connor 2012-11-01
76,,,Loretta O'Connor 2012-11-01
77,,,Loretta O'Connor 2012-11-01
78,,,Loretta O'Connor 2012-11-01
79,,,Loretta O'Connor 2012-11-01
80,,,Swintha Danielsen 2008-05-25
81,,,Swintha Danielsen 2008-05-25
82,,,Swintha Danielsen 2008-05-25
83,,,Swintha Danielsen 2008-05-25
84,,,Swintha Danielsen 2008-05-25
85,,,Swintha Danielsen 2008-05-25
86,,,Loretta O'Connor 2012-11-01
87,,,Swintha Danielsen 2008-05-25
88,,,Swintha Danielsen 2008-05-25
89,,,Swintha Danielsen 2008-05-25
90,,,Swintha Danielsen 2008-05-25
91,,,Swintha Danielsen 2008-05-25
92,,,Swintha Danielsen 2008-05-25
93,,,Swintha Danielsen 2008-05-25
94,,,Swintha Danielsen 2008-05-25
95,,,Swintha Danielsen 2008-05-25
96,,,Swintha Danielsen 2008-05-25
97,,,Loretta O'Connor 2012-11-01
98,,,Loretta O'Connor 2012-11-01
99,,,Swintha Danielsen 2008-05-25
100,,,Swintha Danielsen 2008-05-25
101,,,Loretta O'Connor 2012-11-01
102,,,Loretta O'Connor 2012-11-01
103,,,Swintha Danielsen 2008-05-25
104,,,Swintha Danielsen 2008-05-25
105,,,Loretta O'Connor 2012-11-01
106,,,Swintha Danielsen 2008-05-25
107,,,Loretta O'Connor 2012-11-01
108,,,Loretta O'Connor 2012-11-01
109,,,Swintha Danielsen 2008-05-25
110,,,Loretta O'Connor 2012-11-01
111,,,Swintha Danielsen 2008-05-25
112,,,Swintha Danielsen 2008-05-25
113,,,Swintha Danielsen 2008-05-25
114,,,Loretta O'Connor 2012-11-01
115,,,Loretta O'Connor 2012-11-01
116,,,Swintha Danielsen 2008-05-25
117,,,Swintha Danielsen 2008-05-25
118,,,Swintha Danielsen 2008-05-25
119,,,Loretta O'Connor 2012-11-01
120,sometimes,,Swintha Danielsen 2008-05-25
121,,,Loretta O'Connor 2012-11-01
122,,,Swintha Danielsen 2008-05-25
123,,,Swintha Danielsen 2008-05-25
124,,,Loretta O'Connor 2012-11-01
125,,,Swintha Danielsen 2008-05-25
126,,,Swintha Danielsen 2008-05-25
127,,,Swintha Danielsen 2008-05-25
128,,,Swintha Danielsen 2008-05-25
129,,,Swintha Danielsen 2008-05-25
130,,,Swintha Danielsen 2008-05-25
131,,,Swintha Danielsen 2008-05-25
132,,,Swintha Danielsen 2008-05-25
133,,,Swintha Danielsen 2008-05-25
134,,,Swintha Danielsen 2008-05-25
135,,,Swintha Danielsen 2008-05-25
136,,,Swintha Danielsen 2008-05-25
137,,,Loretta O'Connor 2012-11-01
138,,,Swintha Danielsen 2008-05-25
139,,,Swintha Danielsen 2008-05-25
140,,,Swintha Danielsen 2008-05-25
141,,,Swintha Danielsen 2008-05-25
142,,,Swintha Danielsen 2008-05-25
143,,,Swintha Danielsen 2008-05-25
144,,,Swintha Danielsen 2008-05-25
145,,,Swintha Danielsen 2008-05-25
146,,,Swintha Danielsen 2008-05-25
147,,,Swintha Danielsen 2008-05-25
148,,,Loretta O'Connor 2012-11-01
149,,,Loretta O'Connor 2012-11-01
150,,,Swintha Danielsen 2008-05-25
151,,,Swintha Danielsen 2008-05-25
152,,,Loretta O'Connor 2012-11-01
153,,,Loretta O'Connor 2012-11-01
154,,,Swintha Danielsen 2008-05-25
155,,,Swintha Danielsen 2008-05-25
156,,,Loretta O'Connor 2012-11-01
157,,,Swintha Danielsen 2008-05-25
158,,,Loretta O'Connor 2012-11-01
159,,,Loretta O'Connor 2012-11-01
160,,,Swintha Danielsen 2008-05-25
161,,,Loretta O'Connor 2012-11-01
162,,,Swintha Danielsen 2008-05-25
163,,,Swintha Danielsen 2008-05-25
164,,,Swintha Danielsen 2008-05-25
165,,,Loretta O'Connor 2012-11-01
166,,,Loretta O'Connor 2012-11-01
167,,,Swintha Danielsen 2008-05-25
168,,,Swintha Danielsen 2008-05-25
169,,,Swintha Danielsen 2008-05-25
170,,,Loretta O'Connor 2012-11-01
171,,,Swintha Danielsen 2008-05-25
172,,,Loretta O'Connor 2012-11-01
173,,,Swintha Danielsen 2008-05-25
174,,,Swintha Danielsen 2008-05-25
175,,,Loretta O'Connor 2012-11-01
176,,,Swintha Danielsen 2008-05-25
177,,,Swintha Danielsen 2008-05-25
178,,,Swintha Danielsen 2008-05-25
179,,,Swintha Danielsen 2008-05-25
180,,,Swintha Danielsen 2008-05-25
181,,,Swintha Danielsen 2008-05-25
182,,,Loretta O'Connor 2012-11-01
183,,,Loretta O'Connor 2012-11-01
184,,,Loretta O'Connor 2012-11-01
185,,,Loretta O'Connor 2012-11-01
186,,,Loretta O'Connor 2012-11-01
187,,,Loretta O'Connor 2012-11-01
188,,,Loretta O'Connor 2012-11-01
189,,,Loretta O'Connor 2012-11-01
190,,,Loretta O'Connor 2012-11-01
191,,,Loretta O'Connor 2012-11-01
192,,,Loretta O'Connor 2012-11-01
193,,,Loretta O'Connor 2012-11-01
194,,,Loretta O'Connor 2012-11-01
195,,,Loretta O'Connor 2012-11-01
196,,,Swintha Danielsen 2008-05-25
197,,,Swintha Danielsen 2008-05-25
198,,,Swintha Danielsen 2008-05-25
199,,,Swintha Danielsen 2008-05-25
200,,,Swintha Danielsen 2008-05-25
201,,,Swintha Danielsen 2008-05-25
202,,,Loretta O'Connor 2012-11-01
203,,,Swintha Danielsen 2008-05-25
204,,,Swintha Danielsen 2008-05-25
205,,,Swintha Danielsen 2008-05-25
206,,,Swintha Danielsen 2008-05-25
207,,,Swintha Danielsen 2008-05-25
208,,,Swintha Danielsen 2008-05-25
209,future,,Swintha Danielsen 2008-05-25
210,,,Swintha Danielsen 2008-05-25
211,,,Swintha Danielsen 2008-05-25
212,but comit,,Swintha Danielsen 2008-05-25
213,,,Loretta O'Connor 2012-11-01
214,,,Loretta O'Connor 2012-11-01
215,,,Swintha Danielsen 2008-05-25
216,,,Swintha Danielsen 2008-05-25
217,,,Loretta O'Connor 2012-11-01
218,,,Loretta O'Connor 2012-11-01
219,,,Swintha Danielsen 2008-05-25
220,,,Swintha Danielsen 2008-05-25
221,,,Loretta O'Connor 2012-11-01
222,,,Swintha Danielsen 2008-05-25
223,,,Loretta O'Connor 2012-11-01
224,,,Loretta O'Connor 2012-11-01
225,,,Swintha Danielsen 2008-05-25
226,,,Loretta O'Connor 2012-11-01
227,,,Swintha Danielsen 2008-05-25
228,irrealis/future can be indcated by prefix,,Swintha Danielsen 2008-05-25
229,,,Swintha Danielsen 2008-05-25
230,,,Loretta O'Connor 2012-11-01
231,,,Loretta O'Connor 2012-11-01
232,,,Swintha Danielsen 2008-05-25
233,"only repetitive, but that is rdeuplication of verb stem",,Swintha Danielsen 2008-05-25
234,,,Swintha Danielsen 2008-05-25
235,,,Loretta O'Connor 2012-11-01
236,,,Swintha Danielsen 2008-05-25
237,,,Loretta O'Connor 2012-11-01
238,,,Swintha Danielsen 2008-05-25
239,,,Swintha Danielsen 2008-05-25
240,,,Loretta O'Connor 2012-11-01
241,,,Swintha Danielsen 2008-05-25
242,,,Swintha Danielsen 2008-05-25
243,,,Swintha Danielsen 2008-05-25
244,,,Swintha Danielsen 2008-05-25
245,,,Swintha Danielsen 2008-05-25
246,,,Swintha Danielsen 2008-05-25
247,,,Swintha Danielsen 2008-05-25
248,,,Swintha Danielsen 2008-05-25
249,,,Swintha Danielsen 2008-05-25
250,,,Swintha Danielsen 2008-05-25
251,,,Swintha Danielsen 2008-05-25
252,,,Swintha Danielsen 2008-05-25
253,,,Loretta O'Connor 2012-11-01
254,,,Swintha Danielsen 2008-05-25
255,,,Swintha Danielsen 2008-05-25
256,,,Swintha Danielsen 2008-05-25
257,,,Swintha Danielsen 2008-05-25
258,,,Swintha Danielsen 2008-05-25
259,,,Swintha Danielsen 2008-05-25
260,,,Swintha Danielsen 2008-05-25
261,,,Swintha Danielsen 2008-05-25
262,,,Swintha Danielsen 2008-05-25
263,,,Swintha Danielsen 2008-05-25
264,,,Loretta O'Connor 2012-11-01
265,,,Loretta O'Connor 2012-11-01
266,,,Swintha Danielsen 2008-05-25
267,,,Swintha Danielsen 2008-05-25
268,,,Loretta O'Connor 2012-11-01
269,,,Loretta O'Connor 2012-11-01
270,,,Swintha Danielsen 2008-05-25
271,,,Swintha Danielsen 2008-05-25
272,,,Loretta O'Connor 2012-11-01
273,,,Swintha Danielsen 2008-05-25
274,,,Loretta O'Connor 2012-11-01
275,,,Loretta O'Connor 2012-11-01
276,,,Swintha Danielsen 2008-05-25
277,,,Loretta O'Connor 2012-11-01
278,,,Swintha Danielsen 2008-05-25
279,,,Swintha Danielsen 2008-05-25
280,,,Swintha Danielsen 2008-05-25
281,,,Loretta O'Connor 2012-11-01
282,,,Loretta O'Connor 2012-11-01
283,,,Swintha Danielsen 2008-05-25
284,,,Swintha Danielsen 2008-05-25
285,,,Swintha Danielsen 2008-05-25
286,,,Loretta O'Connor 2012-11-01
287,,,Swintha Danielsen 2008-05-25
288,,,Loretta O'Connor 2012-11-01
289,,,Swintha Danielsen 2008-05-25
290,,,Swintha Danielsen 2008-05-25
291,,,Loretta O'Connor 2012-11-01
292,,,Swintha Danielsen 2008-05-25
293,,,Swintha Danielsen 2008-05-25
294,,,Swintha Danielsen 2008-05-25
295,,,Swintha Danielsen 2008-05-25
296,,,Swintha Danielsen 2008-05-25
297,,,Swintha Danielsen 2008-05-25
298,,,Swintha Danielsen 2008-05-25
299,,,Swintha Danielsen 2008-05-25
300,,,Swintha Danielsen 2008-05-25
301,,,Swintha Danielsen 2008-05-25
302,,,Swintha Danielsen 2008-05-25
303,,,Swintha Danielsen 2008-05-25
304,,,Loretta O'Connor 2012-11-01
305,,,Swintha Danielsen 2008-05-25
306,,,Swintha Danielsen 2008-05-25
307,,,Swintha Danielsen 2008-05-25
308,,,Swintha Danielsen 2008-05-25
309,,,Swintha Danielsen 2008-05-25
310,,,Swintha Danielsen 2008-05-25
311,,,Swintha Danielsen 2008-05-25
312,,,Swintha Danielsen 2008-05-25
313,,,Swintha Danielsen 2008-05-25
314,,,Swintha Danielsen 2008-05-25
315,,,Loretta O'Connor 2012-11-01
316,,,Loretta O'Connor 2012-11-01
317,,,Swintha Danielsen 2008-05-25
318,,,Swintha Danielsen 2008-05-25
319,,,Loretta O'Connor 2012-11-01
320,,,Loretta O'Connor 2012-11-01
321,,,Swintha Danielsen 2008-05-25
322,,,Swintha Danielsen 2008-05-25
323,,,Loretta O'Connor 2012-11-01
324,,,Swintha Danielsen 2008-05-25
325,,,Loretta O'Connor 2012-11-01
326,,,Loretta O'Connor 2012-11-01
327,,,Swintha Danielsen 2008-05-25
328,,,Loretta O'Connor 2012-11-01
329,,,Swintha Danielsen 2008-05-25
330,,,Swintha Danielsen 2008-05-25
331,,,Swintha Danielsen 2008-05-25
332,,,Loretta O'Connor 2012-11-01
333,,,Loretta O'Connor 2012-11-01
334,,,Swintha Danielsen 2008-05-25
335,,,Swintha Danielsen 2008-05-25
336,,,Swintha Danielsen 2008-05-25
337,,,Loretta O'Connor 2012-11-01
338,,,Swintha Danielsen 2008-05-25
339,,,Loretta O'Connor 2012-11-01
340,,,Swintha Danielsen 2008-05-25
341,,,Swintha Danielsen 2008-05-25
342,,,Loretta O'Connor 2012-11-01
343,,,Swintha Danielsen 2008-05-25
344,,,Swintha Danielsen 2008-05-25
345,,,Swintha Danielsen 2008-05-25
346,,,Swintha Danielsen 2008-05-25
347,,,Swintha Danielsen 2008-05-25
348,,,Swintha Danielsen 2008-05-25
349,,,Swintha Danielsen 2008-05-25
350,,,Swintha Danielsen 2008-05-25
351,,,Swintha Danielsen 2008-05-25
352,,,Swintha Danielsen 2008-05-25
353,,,Swintha Danielsen 2008-05-25
354,,,Swintha Danielsen 2008-05-25
355,,,Loretta O'Connor 2012-11-01
356,,,Swintha Danielsen 2008-05-25
357,,,Swintha Danielsen 2008-05-25
358,,,Swintha Danielsen 2008-05-25
359,,,Swintha Danielsen 2008-05-25
360,,,Swintha Danielsen 2008-05-25
361,,,Swintha Danielsen 2008-05-25
362,,,Swintha Danielsen 2008-05-25
363,,,Swintha Danielsen 2008-05-25
364,,,Swintha Danielsen 2008-05-25
365,,,Swintha Danielsen 2008-05-25
366,,,Loretta O'Connor 2012-11-01
367,,,Loretta O'Connor 2012-11-01
368,,,Swintha Danielsen 2008-05-25
369,,,Swintha Danielsen 2008-05-25
370,,,Loretta O'Connor 2012-11-01
371,,,Loretta O'Connor 2012-11-01
372,,,Swintha Danielsen 2008-05-25
373,,,Swintha Danielsen 2008-05-25
374,,,Loretta O'Connor 2012-11-01
375,,,Swintha Danielsen 2008-05-25
376,,,Loretta O'Connor 2012-11-01
377,,,Loretta O'Connor 2012-11-01
378,,,Swintha Danielsen 2008-05-25
379,,,Loretta O'Connor 2012-11-01
380,,,Swintha Danielsen 2008-05-25
381,,,Swintha Danielsen 2008-05-25
382,,,Swintha Danielsen 2008-05-25
383,,,Loretta O'Connor 2012-11-01
384,,,Loretta O'Connor 2012-11-01
385,,,Swintha Danielsen 2008-05-25
386,,,Swintha Danielsen 2008-05-25
387,,,Swintha Danielsen 2008-05-25
388,,,Loretta O'Connor 2012-11-01
389,,,Swintha Danielsen 2008-05-25
390,,,Loretta O'Connor 2012-11-01
391,,,Swintha Danielsen 2008-05-25
392,,,Swintha Danielsen 2008-05-25
393,,,Loretta O'Connor 2012-11-01
394,,,Swintha Danielsen 2008-05-25
395,,,Swintha Danielsen 2008-05-25
396,,,Swintha Danielsen 2008-05-25
397,,,Swintha Danielsen 2008-05-25
398,,,Swintha Danielsen 2008-05-25
399,,,Swintha Danielsen 2008-05-25
400,,,Swintha Danielsen 2008-05-25
401,,,Swintha Danielsen 2008-05-25
402,,,Swintha Danielsen 2008-05-25
403,,,Swintha Danielsen 2008-05-25
404,,,Swintha Danielsen 2008-05-25
405,,,Swintha Danielsen 2008-05-25
406,,,Loretta O'Connor 2012-11-01
407,,,Swintha Danielsen 2008-05-25
408,,,Swintha Danielsen 2008-05-25
409,,,Swintha Danielsen 2008-05-25
410,,,Swintha Danielsen 2008-05-25
411,,,Swintha Danielsen 2008-05-25
412,,,Swintha Danielsen 2008-05-25
413,,,Swintha Danielsen 2008-05-25
414,,,Swintha Danielsen 2008-05-25
415,,,Swintha Danielsen 2008-05-25
416,,,Swintha Danielsen 2008-05-25
417,,,Loretta O'Connor 2012-11-01
418,,,Loretta O'Connor 2012-11-01
419,,,Swintha Danielsen 2008-05-25
420,,,Swintha Danielsen 2008-05-25
421,,,Loretta O'Connor 2012-11-01
422,,,Loretta O'Connor 2012-11-01
423,,,Swintha Danielsen 2008-05-25
424,,,Swintha Danielsen 2008-05-25
425,,,Loretta O'Connor 2012-11-01
426,,,Swintha Danielsen 2008-05-25
427,,,Loretta O'Connor 2012-11-01
428,,,Loretta O'Connor 2012-11-01
429,,,Swintha Danielsen 2008-05-25
430,,,Loretta O'Connor 2012-11-01
431,,,Swintha Danielsen 2008-05-25
432,,,Swintha Danielsen 2008-05-25
433,,,Swintha Danielsen 2008-05-25
434,,,Loretta O'Connor 2012-11-01
435,,,Loretta O'Connor 2012-11-01
436,,,Swintha Danielsen 2008-05-25
437,,,Swintha Danielsen 2008-05-25
438,,,Swintha Danielsen 2008-05-25
439,,,Loretta O'Connor 2012-11-01
440,,,Swintha Danielsen 2008-05-25
441,,,Loretta O'Connor 2012-11-01
442,,,Swintha Danielsen 2008-05-25
443,,,Swintha Danielsen 2008-05-25
444,,,Loretta O'Connor 2012-11-01
445,,,Swintha Danielsen 2008-05-25
446,,,Swintha Danielsen 2008-05-25
447,,,Swintha Danielsen 2008-05-25
448,,,Swintha Danielsen 2008-05-25
449,,,Swintha Danielsen 2008-05-25
450,,,Swintha Danielsen 2008-05-25
451,,,Swintha Danielsen 2008-05-25
452,,,Swintha Danielsen 2008-05-25
453,,,Swintha Danielsen 2008-05-25
454,,,Swintha Danielsen 2008-05-25
455,,,Swintha Danielsen 2008-05-25
456,,,Swintha Danielsen 2008-05-25
457,,,Loretta O'Connor 2012-11-01
458,,,Swintha Danielsen 2008-05-25
459,,,Swintha Danielsen 2008-05-25
460,,,Swintha Danielsen 2008-05-25
461,,,Swintha Danielsen 2008-05-25
462,,,Swintha Danielsen 2008-05-25
463,,,Swintha Danielsen 2008-05-25
464,,,Swintha Danielsen 2008-05-25
465,,,Swintha Danielsen 2008-05-25
466,,,Swintha Danielsen 2008-05-25
467,,,Swintha Danielsen 2008-05-25
468,,,Loretta O'Connor 2012-11-01
469,,,Loretta O'Connor 2012-11-01
470,,,Swintha Danielsen 2008-05-25
471,,,Swintha Danielsen 2008-05-25
472,,,Loretta O'Connor 2012-11-01
473,,,Loretta O'Connor 2012-11-01
474,,,Swintha Danielsen 2008-05-25
475,,,Swintha Danielsen 2008-05-25
476,,,Loretta O'Connor 2012-11-01
477,,,Swintha Danielsen 2008-05-25
478,,,Loretta O'Connor 2012-11-01
479,,,Loretta O'Connor 2012-11-01
480,,,Swintha Danielsen 2008-05-25
481,,,Loretta O'Connor 2012-11-01
482,,,Swintha Danielsen 2008-05-25
483,,,Swintha Danielsen 2008-05-25
484,unmarked order is rather SO,,Swintha Danielsen 2008-05-25
485,,,Loretta O'Connor 2012-11-01
486,,,Loretta O'Connor 2012-11-01
487,,,Swintha Danielsen 2008-05-25
488,,,Swintha Danielsen 2008-05-25
489,for pronouns,,Swintha Danielsen 2008-05-25
490,,,Loretta O'Connor 2012-11-01
491,,,Swintha Danielsen 2008-05-25
492,,,Loretta O'Connor 2012-11-01
493,,,Swintha Danielsen 2008-05-25
494,,,Swintha Danielsen 2008-05-25
495,,,Loretta O'Connor 2012-11-01
496,,,Swintha Danielsen 2008-05-25
497,,,Swintha Danielsen 2008-05-25
498,,,Swintha Danielsen 2008-05-25
499,,,Swintha Danielsen 2008-05-25
500,,,Swintha Danielsen 2008-05-25
501,,,Swintha Danielsen 2008-05-25
502,,,Swintha Danielsen 2008-05-25
503,,,Swintha Danielsen 2008-05-25
504,,,Swintha Danielsen 2008-05-25
505,,,Swintha Danielsen 2008-05-25
506,,,Swintha Danielsen 2008-05-25
507,,,Swintha Danielsen 2008-05-25
508,,,Loretta O'Connor 2012-11-01
509,,,Swintha Danielsen 2008-05-25
510,,,Swintha Danielsen 2008-05-25
511,,,Swintha Danielsen 2008-05-25
512,,,Swintha Danielsen 2008-05-25
513,,,Swintha Danielsen 2008-05-25
514,,,Swintha Danielsen 2008-05-25
515,,,Swintha Danielsen 2008-05-25
516,,,Swintha Danielsen 2008-05-25
517,,,Swintha Danielsen 2008-05-25
518,,,Swintha Danielsen 2008-05-25
519,,,Loretta O'Connor 2012-11-01
520,,,Loretta O'Connor 2012-11-01
521,,,Swintha Danielsen 2008-05-25
522,,,Swintha Danielsen 2008-05-25
523,,,Loretta O'Connor 2012-11-01
524,,,Loretta O'Connor 2012-11-01
525,,,Swintha Danielsen 2008-05-25
526,,,Swintha Danielsen 2008-05-25
527,,,Loretta O'Connor 2012-11-01
528,,,Swintha Danielsen 2008-05-25
529,,,Loretta O'Connor 2012-11-01
530,,,Loretta O'Connor 2012-11-01
531,,,Swintha Danielsen 2008-05-25
532,,,Loretta O'Connor 2012-11-01
533,,,Swintha Danielsen 2008-05-25
534,,,Swintha Danielsen 2008-05-25
535,,,Swintha Danielsen 2008-05-25
536,,,Loretta O'Connor 2012-11-01
537,,,Loretta O'Connor 2012-11-01
538,,,Swintha Danielsen 2008-05-25
539,,,Swintha Danielsen 2008-05-25
540,,,Swintha Danielsen 2008-05-25
541,,,Loretta O'Connor 2012-11-01
542,,,Swintha Danielsen 2008-05-25
543,,,Loretta O'Connor 2012-11-01
544,,,Swintha Danielsen 2008-05-25
545,,,Swintha Danielsen 2008-05-25
546,,,Loretta O'Connor 2012-11-01
547,,,Swintha Danielsen 2008-05-25
548,,,Swintha Danielsen 2008-05-25
549,,,Swintha Danielsen 2008-05-25
550,,,Swintha Danielsen 2008-05-25
551,,,Swintha Danielsen 2008-05-25
552,,,Swintha Danielsen 2008-05-25
553,,,Loretta O'Connor 2012-11-01
554,,,Loretta O'Connor 2012-11-01
555,,,Loretta O'Connor 2012-11-01
556,,,Loretta O'Connor 2012-11-01
557,,,Loretta O'Connor 2012-11-01
558,,,Loretta O'Connor 2012-11-01
559,,,Loretta O'Connor 2012-11-01
560,,,Loretta O'Connor 2012-11-01
561,,,Loretta O'Connor 2012-11-01
562,,,Loretta O'Connor 2012-11-01
563,,,Loretta O'Connor 2012-11-01
564,,,Loretta O'Connor 2012-11-01
565,,,Loretta O'Connor 2012-11-01
566,,,Loretta O'Connor 2012-11-01
567,,,Loretta O'Connor 2012-11-01
568,,,Loretta O'Connor 2012-11-01
569,,,Loretta O'Connor 2012-11-01
570,,,Loretta O'Connor 2012-11-01
571,,,Loretta O'Connor 2012-11-01
572,,,Loretta O'Connor 2012-11-01
573,,,Loretta O'Connor 2012-11-01
574,,,Loretta O'Connor 2012-11-01
575,,,Loretta O'Connor 2012-11-01
576,,,Loretta O'Connor 2012-11-01
577,,,Loretta O'Connor 2012-11-01
578,,,Loretta O'Connor 2012-11-01
579,,,Loretta O'Connor 2012-11-01
580,,,Loretta O'Connor 2012-11-01
581,,,Loretta O'Connor 2012-11-01
582,,,Loretta O'Connor 2012-11-01
583,,,Loretta O'Connor 2012-11-01
584,,,Loretta O'Connor 2012-11-01
585,,,Loretta O'Connor 2012-11-01
586,,,Loretta O'Connor 2012-11-01
587,,,Loretta O'Connor 2012-11-01
588,,,Loretta O'Connor 2012-11-01
589,,,Loretta O'Connor 2012-11-01
590,,,Loretta O'Connor 2012-11-01
591,,,Loretta O'Connor 2012-11-01
592,,,Loretta O'Connor 2012-11-01
593,,,Loretta O'Connor 2012-11-01
594,,,Loretta O'Connor 2012-11-01
595,,,Swintha Danielsen 2008-05-25
596,,,Swintha Danielsen 2008-05-25
597,,,Swintha Danielsen 2008-05-25
598,,,Swintha Danielsen 2008-05-25
599,,,Swintha Danielsen 2008-05-25
600,,,Swintha Danielsen 2008-05-25
601,,,Loretta O'Connor 2012-11-01
602,,,Swintha Danielsen 2008-05-25
603,,,Swintha Danielsen 2008-05-25
604,,,Swintha Danielsen 2008-05-25
605,,,Swintha Danielsen 2008-05-25
606,,,Swintha Danielsen 2008-05-25
607,,,Swintha Danielsen 2008-05-25
608,,,Swintha Danielsen 2008-05-25
609,,,Swintha Danielsen 2008-05-25
610,,,Swintha Danielsen 2008-05-25
611,,,Swintha Danielsen 2008-05-25
612,,,Loretta O'Connor 2012-11-01
613,,,Loretta O'Connor 2012-11-01
614,,,Swintha Danielsen 2008-05-25
615,,,Swintha Danielsen 2008-05-25
616,,,Loretta O'Connor 2012-11-01
617,,,Loretta O'Connor 2012-11-01
618,,,Swintha Danielsen 2008-05-25
619,,,Swintha Danielsen 2008-05-25
620,,,Loretta O'Connor 2012-11-01
621,,,Swintha Danielsen 2008-05-25
622,,,Loretta O'Connor 2012-11-01
623,,,Loretta O'Connor 2012-11-01
624,,,Swintha Danielsen 2008-05-25
625,,,Loretta O'Connor 2012-11-01
626,,,Swintha Danielsen 2008-05-25
627,,,Swintha Danielsen 2008-05-25
628,,,Swintha Danielsen 2008-05-25
629,,,Loretta O'Connor 2012-11-01
630,,,Loretta O'Connor 2012-11-01
631,,,Swintha Danielsen 2008-05-25
632,,,Swintha Danielsen 2008-05-25
633,,,Swintha Danielsen 2008-05-25
634,,,Loretta O'Connor 2012-11-01
635,,,Swintha Danielsen 2008-05-25
636,,,Loretta O'Connor 2012-11-01
637,,,Swintha Danielsen 2008-05-25
638,,,Swintha Danielsen 2008-05-25
639,,,Loretta O'Connor 2012-11-01
640,,,Swintha Danielsen 2008-05-25
641,,,Swintha Danielsen 2008-05-25
642,,,Swintha Danielsen 2008-05-25
643,,,Swintha Danielsen 2008-05-25
644,,,Swintha Danielsen 2008-05-25
645,,,Swintha Danielsen 2008-05-25
646,,,Swintha Danielsen 2008-05-25
647,,,Swintha Danielsen 2008-05-25
648,,,Swintha Danielsen 2008-05-25
649,,,Swintha Danielsen 2008-05-25
650,,,Swintha Danielsen 2008-05-25
651,,,Swintha Danielsen 2008-05-25
652,,,Loretta O'Connor 2012-11-01
653,,,Swintha Danielsen 2008-05-25
654,,,Swintha Danielsen 2008-05-25
655,,,Swintha Danielsen 2008-05-25
656,,,Swintha Danielsen 2008-05-25
657,,,Swintha Danielsen 2008-05-25
658,,,Swintha Danielsen 2008-05-25
659,,,Swintha Danielsen 2008-05-25
660,,,Swintha Danielsen 2008-05-25
661,,,Swintha Danielsen 2008-05-25
